N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.33174,1,0,1,0,1,0,1,0,0.098096,0.049483,0,0.10347,0,0.35393,0,83.022,0,0.70737,0,8.7182,0
600,8,0.091783,1,0,1,0,1,0,1,0,0.30982,0.016988,0,0.33081,0,0.099022,0,67.085,0,-0.089379,0,4.9021,0
600,8,0.14066,1,0,1,0,1,0,1,0,0.21596,0.024878,0,0.22598,0,0.15412,0,68.203,0,-0.34929,0,6.2773,0
600,8,0.10257,1,0,1,0,1,0,1,0,0.18733,0.033159,0,0.17969,0,0.10351,0,74.804,0,1.8458,0,8.7589,0
600,8,0.18557,1,0,1,0,1,0,1,0,0.23423,0.057716,0,0.23348,0,0.1976,0,78.158,0,0.54573,0,2.8539,0
600,8,0.2586,1,0,1,0,1,0,1,0,0.23815,0.014516,0,0.26763,0,0.28633,0,64.72,0,0.21771,0,2.4686,0
600,8,0.30287,1,0,1,0,1,0,1,0,0.16764,0.0071507,0,0.15641,0,0.27405,0,64.303,0,1.3423,0,4.3529,0
600,8,0.079356,1,0,1,0,1,0,1,0,0.29119,0.014333,0,0.28084,0,0.082789,0,66.942,0,0.7142,0,2.5391,0
600,8,0.35693,1,0,1,0,1,0,1,0,0.14104,0.041581,0,0.14486,0,0.36161,0,73.267,0,-0.28521,0,2.4088,0
600,8,0.078383,1,0,1,0,1,0,1,0,0.061121,0.017254,0,0.060737,0,0.076689,0,73.281,0,0.58238,0,1.9091,0
600,8,0.16503,1,0,1,0,1,0,1,0,0.1139,0.020511,0,0.12611,0,0.17978,0,68.188,0,0.78057,0,4.8703,0
600,8,0.28092,1,0,1,0,1,0,1,0,0.10128,0.037356,0,0.10143,0,0.26754,0,76.424,0,-0.50804,0,3.9386,0
600,8,0.19904,1,0,1,0,1,0,1,0,0.33593,0.0051049,0,0.34339,0,0.20047,0,64.102,0,-0.25784,0,2.2474,0
600,8,0.10683,1,0,1,0,1,0,1,0,0.171,0.010754,0,0.1817,0,0.11168,0,65.295,0,-1.0637,0,6.0631,0
600,8,0.33628,1,0,1,0,1,0,1,0,0.081901,0.0092001,0,0.08634,0,0.3411,0,65.121,0,0.82857,0,4.9393,0
600,8,0.29611,1,0,1,0,1,0,1,0,0.096321,0.019299,0,0.10641,0,0.31583,0,67.625,0,0.88642,0,4.7514,0
600,8,0.21618,1,0,1,0,1,0,1,0,0.26441,0.0062269,0,0.27045,0,0.22884,0,64.159,0,-1.6014,0,5.5186,0
600,8,0.17108,1,0,1,0,1,0,1,0,0.35681,0.053557,0,0.35822,0,0.17513,0,75.075,0,-0.81162,0,2.8047,0
600,8,0.17891,1,0,1,0,1,0,1,0,0.32368,0.0090818,0,0.2788,0,0.1694,0,64.518,0,2.2631,0,7.2562,0
600,8,0.21974,1,0,1,0,1,0,1,0,0.23498,0.055655,0,0.21188,0,0.18234,0,77.359,0,-2.3913,0,8.6235,0
600,8,0.23341,1,0,1,0,1,0,1,0,0.27236,0.025538,0,0.27617,0,0.26019,0,66.209,0,1.1094,0,7.8494,0
600,8,0.33494,1,0,1,0,1,0,1,0,0.29461,0.056924,0,0.30306,0,0.31226,0,71.406,0,0.66137,0,6.4432,0
600,8,0.072585,1,0,1,0,1,0,1,0,0.13312,0.049077,0,0.12958,0,0.07327,0,96.839,0,1.414,0,5.7234,0
