N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.26,1,0,1,0,1,0,1,0,0.11,0.033877,0,0.12874,0,0.27638,0,72.714,0,-0.60401,0,7.5499,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.044058,0,0.36977,0,0.25955,0,68.902,0,-0.69399,0,5.4361,0
600,8,0.06,1,0,1,0,1,0,1,0,0.11,0.014021,0,0.11259,0,0.064789,0,68.811,0,0.041784,0,3.4983,0
600,8,0.21,1,0,1,0,1,0,1,0,0.16,0.0039898,0,0.15038,0,0.2104,0,64.117,0,-0.95257,0,3.5176,0
600,8,0.06,1,0,1,0,1,0,1,0,0.36,0.0039971,0,0.38851,0,0.065286,0,64.316,0,-0.70203,0,3.5129,0
600,8,0.16,1,0,1,0,1,0,1,0,0.36,0.02406,0,0.36727,0,0.16574,0,66.837,0,1.0458,0,3.4905,0
600,8,0.26,1,0,1,0,1,0,1,0,0.11,0.043846,0,0.10877,0,0.24113,0,79.047,0,1.89,0,7.4481,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.014025,0,0.3342,0,0.21934,0,65.063,0,-0.54174,0,1.4892,0
600,8,0.16,1,0,1,0,1,0,1,0,0.36,0.044034,0,0.37146,0,0.16034,0,72.48,0,0.39722,0,7.4729,0
600,8,0.11,1,0,1,0,1,0,1,0,0.16,0.014043,0,0.15214,0,0.11427,0,66.326,0,-1.8478,0,7.4654,0
600,8,0.21,1,0,1,0,1,0,1,0,0.06,0.053989,0,0.066337,0,0.20978,0,103.38,0,0.050341,0,3.4924,0
600,8,0.06,1,0,1,0,1,0,1,0,0.16,0.043792,0,0.15162,0,0.062087,0,94,0,1.3917,0,7.4646,0
600,8,0.06,1,0,1,0,1,0,1,0,0.11,0.054027,0,0.11209,0,0.065138,0,110.49,0,0.28348,0,5.4433,0
600,8,0.36,1,0,1,0,1,0,1,0,0.36,0.033932,0,0.37666,0,0.40962,0,66.015,0,-0.20943,0,5.4861,0
600,8,0.16,1,0,1,0,1,0,1,0,0.31,0.043935,0,0.30129,0,0.15504,0,74,0,1.0463,0,3.4838,0
600,8,0.36,1,0,1,0,1,0,1,0,0.21,0.043901,0,0.22484,0,0.39524,0,70.226,0,-0.58792,0,7.4062,0
600,8,0.21,1,0,1,0,1,0,1,0,0.11,0.0040024,0,0.11962,0,0.2167,0,64.159,0,0.80057,0,5.4581,0
600,8,0.06,1,0,1,0,1,0,1,0,0.36,0.023919,0,0.34143,0,0.059507,0,73.995,0,1.6362,0,7.3933,0
600,8,0.11,1,0,1,0,1,0,1,0,0.11,0.054067,0,0.11613,0,0.11661,0,92.904,0,1.6624,0,7.5897,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.0039922,0,0.37267,0,0.2589,0,64.046,0,1.0586,0,5.518,0
600,8,0.31,1,0,1,0,1,0,1,0,0.06,0.0039963,0,0.061014,0,0.29002,0,64.354,0,-0.60383,0,7.4469,0
600,8,0.21,1,0,1,0,1,0,1,0,0.26,0.053977,0,0.25941,0,0.19428,0,75.334,0,-1.7022,0,5.5149,0
600,8,0.26,1,0,1,0,1,0,1,0,0.06,0.023979,0,0.063337,0,0.26094,0,74.002,0,1.6571,0,7.5913,0
600,8,0.36,1,0,1,0,1,0,1,0,0.21,0.04408,0,0.22189,0,0.37113,0,69.663,0,-0.4767,0,3.5471,0
600,8,0.21,1,0,1,0,1,0,1,0,0.06,0.043999,0,0.063551,0,0.20448,0,93.759,0,-0.047568,0,1.5005,0
600,8,0.36,1,0,1,0,1,0,1,0,0.06,0.054026,0,0.064927,0,0.34574,0,99.216,0,-0.85346,0,7.3968,0
600,8,0.06,1,0,1,0,1,0,1,0,0.11,0.014002,0,0.096227,0,0.055681,0,69.527,0,2.1578,0,7.541,0
600,8,0.31,1,0,1,0,1,0,1,0,0.16,0.054001,0,0.1712,0,0.31712,0,76.459,0,0.64181,0,7.394,0
600,8,0.16,1,0,1,0,1,0,1,0,0.26,0.003994,0,0.25241,0,0.14692,0,64.106,0,-1.5979,0,7.5492,0
600,8,0.31,1,0,1,0,1,0,1,0,0.36,0.024005,0,0.34114,0,0.29657,0,65.456,0,2.1592,0,7.5507,0
600,8,0.21,1,0,1,0,1,0,1,0,0.26,0.023967,0,0.2872,0,0.21162,0,66.503,0,0.18761,0,7.4064,0
600,8,0.21,1,0,1,0,1,0,1,0,0.21,0.024084,0,0.18265,0,0.20305,0,67.523,0,1.8004,0,5.4919,0
600,8,0.21,1,0,1,0,1,0,1,0,0.16,0.024054,0,0.17303,0,0.22029,0,67.537,0,0.54965,0,5.5357,0
600,8,0.31,1,0,1,0,1,0,1,0,0.36,0.043924,0,0.35222,0,0.29772,0,68.389,0,0.12547,0,7.5862,0
600,8,0.21,1,0,1,0,1,0,1,0,0.06,0.054045,0,0.06403,0,0.21392,0,103.85,0,0.54983,0,3.4852,0
600,8,0.36,1,0,1,0,1,0,1,0,0.36,0.0039936,0,0.35427,0,0.38067,0,64.031,0,-0.47623,0,3.5373,0
600,8,0.06,1,0,1,0,1,0,1,0,0.21,0.014015,0,0.1931,0,0.059794,0,68.304,0,-1.8482,0,7.4855,0
600,8,0.11,1,0,1,0,1,0,1,0,0.06,0.034027,0,0.063512,0,0.11327,0,86.97,0,-0.16729,0,5.5161,0
600,8,0.36,1,0,1,0,1,0,1,0,0.16,0.0040004,0,0.16341,0,0.32403,0,64.102,0,0.19999,0,1.4995,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.013997,0,0.408,0,0.26707,0,64.483,0,0.5555,0,3.5187,0
600,8,0.31,1,0,1,0,1,0,1,0,0.26,0.034017,0,0.29022,0,0.35541,0,66.902,0,-1.351,0,7.4419,0
600,8,0.26,1,0,1,0,1,0,1,0,0.26,0.044004,0,0.2835,0,0.29615,0,69.827,0,-0.58463,0,7.4083,0
600,8,0.06,1,0,1,0,1,0,1,0,0.11,0.024007,0,0.10184,0,0.05978,0,77.69,0,-1.2012,0,3.5017,0
600,8,0.11,1,0,1,0,1,0,1,0,0.36,0.034059,0,0.39411,0,0.11423,0,72.64,0,-0.60543,0,7.6016,0
600,8,0.31,1,0,1,0,1,0,1,0,0.16,0.0039998,0,0.15328,0,0.32859,0,64.111,0,-0.29633,0,1.4977,0
600,8,0.11,1,0,1,0,1,0,1,0,0.21,0.054033,0,0.22012,0,0.1169,0,85.827,0,-0.19242,0,3.4821,0
600,8,0.06,1,0,1,0,1,0,1,0,0.16,0.034044,0,0.16277,0,0.063318,0,83.789,0,-1.1033,0,7.5995,0
600,8,0.26,1,0,1,0,1,0,1,0,0.16,0.023986,0,0.16572,0,0.24648,0,67.298,0,-0.94611,0,3.4875,0
