N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.22691,1,0,1,0,1,0,1,0,0.28875,0.023658,0,0.25976,0,0.21904,0,66.348,0,-1.7348,0,5.6541,0
600,8,0.1938,1,0,1,0,1,0,1,0,0.060322,0.036173,0,0.058323,0,0.17424,0,87.546,0,-0.59251,0,1.7392,0
600,8,0.16736,1,0,1,0,1,0,1,0,0.15866,0.016551,0,0.1708,0,0.18546,0,65.967,0,1.1151,0,5.2023,0
600,8,0.068737,1,0,1,0,1,0,1,0,0.10105,0.041232,0,0.10105,0,0.070196,0,93.786,0,-0.57304,0,6.8229,0
600,8,0.29711,1,0,1,0,1,0,1,0,0.10397,0.030976,0,0.089218,0,0.25247,0,73.265,0,2.2987,0,8.2157,0
600,8,0.15111,1,0,1,0,1,0,1,0,0.06456,0.0041835,0,0.071221,0,0.15705,0,64.373,0,-0.40592,0,3.2619,0
600,8,0.1822,1,0,1,0,1,0,1,0,0.18521,0.072961,0,0.19144,0,0.19847,0,88.552,0,-1.0705,0,4.297,0
600,8,0.24442,1,0,1,0,1,0,1,0,0.14609,0.040559,0,0.12994,0,0.22586,0,76.085,0,-0.38318,0,1.5618,0
600,8,0.22669,1,0,1,0,1,0,1,0,0.19648,0.068349,0,0.21536,0,0.23009,0,82.479,0,0.89303,0,9.3396,0
600,8,0.16476,1,0,1,0,1,0,1,0,0.20401,0.024385,0,0.18268,0,0.14826,0,68.382,0,-2.4082,0,9.0478,0
600,8,0.069083,1,0,1,0,1,0,1,0,0.26552,0.070877,0,0.25926,0,0.067139,0,115.59,0,0.23647,0,1.5531,0
600,8,0.19938,1,0,1,0,1,0,1,0,0.21703,0.057844,0,0.21313,0,0.19474,0,78.139,0,0.61797,0,6.2017,0
600,8,0.17317,1,0,1,0,1,0,1,0,0.3401,0.028473,0,0.30323,0,0.17023,0,68.147,0,-0.024634,0,1.5248,0
600,8,0.21349,1,0,1,0,1,0,1,0,0.21855,0.041079,0,0.20444,0,0.21008,0,71.701,0,-0.50944,0,6.7398,0
600,8,0.14468,1,0,1,0,1,0,1,0,0.3385,0.043918,0,0.34726,0,0.14438,0,73.839,0,-1.045,0,3.9341,0
600,8,0.23671,1,0,1,0,1,0,1,0,0.26544,0.019267,0,0.28697,0,0.25747,0,65.249,0,0.5635,0,5.591,0
600,8,0.33664,1,0,1,0,1,0,1,0,0.3271,0.063257,0,0.3206,0,0.35405,0,71.491,0,1.6556,0,9.0718,0
600,8,0.34286,1,0,1,0,1,0,1,0,0.30322,0.032717,0,0.31092,0,0.3617,0,66.327,0,-0.31336,0,2.7251,0
600,8,0.11652,1,0,1,0,1,0,1,0,0.29704,0.011155,0,0.29919,0,0.12265,0,65.072,0,-0.13663,0,9.5977,0
600,8,0.24568,1,0,1,0,1,0,1,0,0.22738,0.024531,0,0.21362,0,0.25815,0,66.569,0,2.2319,0,8.4907,0
600,8,0.31416,1,0,1,0,1,0,1,0,0.35259,0.027871,0,0.3434,0,0.28665,0,66.031,0,0.26894,0,1.6725,0
600,8,0.33316,1,0,1,0,1,0,1,0,0.14401,0.031442,0,0.14538,0,0.33804,0,69.537,0,1.6205,0,5.5114,0
600,8,0.23865,1,0,1,0,1,0,1,0,0.11653,0.026269,0,0.12166,0,0.23807,0,69.826,0,-0.24336,0,6.726,0
600,8,0.068427,1,0,1,0,1,0,1,0,0.1373,0.0070119,0,0.13887,0,0.072948,0,65.02,0,-0.52006,0,3.5698,0
600,8,0.16883,1,0,1,0,1,0,1,0,0.079015,0.046859,0,0.085213,0,0.17422,0,89.448,0,1.0451,0,5.0153,0
600,8,0.1862,1,0,1,0,1,0,1,0,0.19979,0.062492,0,0.21178,0,0.18646,0,82.58,0,0.83432,0,6.0127,0
600,8,0.17792,1,0,1,0,1,0,1,0,0.29672,0.070329,0,0.31248,0,0.19661,0,81.031,0,1.2413,0,7.1056,0
600,8,0.17175,1,0,1,0,1,0,1,0,0.30565,0.069459,0,0.33213,0,0.17737,0,82.454,0,0.59256,0,3.2717,0
600,8,0.14748,1,0,1,0,1,0,1,0,0.1326,0.032438,0,0.1256,0,0.14899,0,73.708,0,-2.0121,0,7.4594,0
600,8,0.2817,1,0,1,0,1,0,1,0,0.33514,0.021355,0,0.38576,0,0.31848,0,65.069,0,0.6981,0,2.7953,0
600,8,0.12762,1,0,1,0,1,0,1,0,0.24879,0.041256,0,0.25899,0,0.13285,0,74.986,0,-0.61763,0,7.2184,0
600,8,0.078717,1,0,1,0,1,0,1,0,0.26583,0.021536,0,0.25675,0,0.080104,0,70.296,0,-1.3707,0,5.6105,0
600,8,0.10469,1,0,1,0,1,0,1,0,0.06471,0.011678,0,0.070156,0,0.1099,0,67.289,0,0.59654,0,5.4164,0
600,8,0.28294,1,0,1,0,1,0,1,0,0.24423,0.066177,0,0.23778,0,0.26251,0,78.115,0,-1.8848,0,5.4466,0
600,8,0.063532,1,0,1,0,1,0,1,0,0.17391,0.0051214,0,0.17908,0,0.068152,0,64.551,0,0.93524,0,5.5104,0
600,8,0.34721,1,0,1,0,1,0,1,0,0.16284,0.031228,0,0.16823,0,0.35613,0,68.443,0,-1.5699,0,7.0878,0
600,8,0.264,1,0,1,0,1,0,1,0,0.11387,0.038093,0,0.11063,0,0.2269,0,77.93,0,-0.60703,0,1.661,0
600,8,0.12532,1,0,1,0,1,0,1,0,0.30971,0.055407,0,0.34024,0,0.13807,0,80.982,0,-0.38892,0,4.5711,0
600,8,0.077503,1,0,1,0,1,0,1,0,0.089248,0.048987,0,0.085378,0,0.075288,0,100.46,0,1.9392,0,8.4062,0
600,8,0.10472,1,0,1,0,1,0,1,0,0.23544,0.068762,0,0.2482,0,0.10506,0,96.437,0,1.1935,0,5.5237,0
600,8,0.24234,1,0,1,0,1,0,1,0,0.17375,0.034172,0,0.14158,0,0.22851,0,70.757,0,2.2848,0,8.7512,0
